".id","dates","totals","doi"
"counter",2012-09-23,172,"10.1371/journal.pone.0043938"
"counter",2012-09-24,179,"10.1371/journal.pone.0043938"
"counter",2012-09-24,179,"10.1371/journal.pone.0043938"
"counter",2012-09-25,187,"10.1371/journal.pone.0043938"
"counter",2012-09-25,187,"10.1371/journal.pone.0043938"
"counter",2012-09-26,187,"10.1371/journal.pone.0043938"
"counter",2012-09-26,187,"10.1371/journal.pone.0043938"
"counter",2012-09-27,200,"10.1371/journal.pone.0043938"
"counter",2012-09-27,200,"10.1371/journal.pone.0043938"
"counter",2012-09-28,210,"10.1371/journal.pone.0043938"
"counter",2012-09-28,210,"10.1371/journal.pone.0043938"
"counter",2012-09-29,213,"10.1371/journal.pone.0043938"
"counter",2012-09-29,213,"10.1371/journal.pone.0043938"
"counter",2012-09-30,213,"10.1371/journal.pone.0043938"
"counter",2012-09-30,213,"10.1371/journal.pone.0043938"
"counter",2012-10-01,215,"10.1371/journal.pone.0043938"
"counter",2012-10-01,215,"10.1371/journal.pone.0043938"
"counter",2012-10-02,218,"10.1371/journal.pone.0043938"
"counter",2012-10-02,218,"10.1371/journal.pone.0043938"
"counter",2012-10-03,231,"10.1371/journal.pone.0043938"
"counter",2012-10-03,231,"10.1371/journal.pone.0043938"
"counter",2012-10-04,231,"10.1371/journal.pone.0043938"
"counter",2012-10-04,231,"10.1371/journal.pone.0043938"
"counter",2012-10-05,235,"10.1371/journal.pone.0043938"
"counter",2012-10-05,235,"10.1371/journal.pone.0043938"
"counter",2012-10-06,241,"10.1371/journal.pone.0043938"
"counter",2012-10-06,241,"10.1371/journal.pone.0043938"
"counter",2012-10-07,243,"10.1371/journal.pone.0043938"
"counter",2012-10-07,243,"10.1371/journal.pone.0043938"
"counter",2012-10-08,245,"10.1371/journal.pone.0043938"
"counter",2012-10-08,245,"10.1371/journal.pone.0043938"
"counter",2012-10-09,246,"10.1371/journal.pone.0043938"
"counter",2012-10-09,246,"10.1371/journal.pone.0043938"
"counter",2012-10-10,247,"10.1371/journal.pone.0043938"
"counter",2012-10-10,247,"10.1371/journal.pone.0043938"
"counter",2012-10-11,250,"10.1371/journal.pone.0043938"
"counter",2012-10-11,250,"10.1371/journal.pone.0043938"
"counter",2012-10-12,256,"10.1371/journal.pone.0043938"
"counter",2012-10-12,256,"10.1371/journal.pone.0043938"
"counter",2012-10-13,256,"10.1371/journal.pone.0043938"
"counter",2012-10-13,256,"10.1371/journal.pone.0043938"
"counter",2012-10-14,260,"10.1371/journal.pone.0043938"
"counter",2012-10-14,260,"10.1371/journal.pone.0043938"
"counter",2012-10-15,262,"10.1371/journal.pone.0043938"
"counter",2012-10-15,262,"10.1371/journal.pone.0043938"
"counter",2012-10-16,262,"10.1371/journal.pone.0043938"
"counter",2012-10-16,262,"10.1371/journal.pone.0043938"
"counter",2012-10-17,267,"10.1371/journal.pone.0043938"
"counter",2012-10-17,267,"10.1371/journal.pone.0043938"
"counter",2012-10-18,272,"10.1371/journal.pone.0043938"
"counter",2012-10-18,272,"10.1371/journal.pone.0043938"
"counter",2012-10-19,275,"10.1371/journal.pone.0043938"
